value	from	to
0,955807212	Пермский край	Башкортостан
0,824948967	Приморский край	Башкортостан
0,877184068	Псковская обл.	Башкортостан
0,928863482	Ростовская обл.	Башкортостан
0,926382495	Рязанская обл.	Башкортостан
0,939826345	Самарская обл.	Башкортостан
0,856285353	Санкт-Петербург	Башкортостан
0,945338938	Саратовская обл.	Башкортостан
0,78368206	Саха (Якутия)	Башкортостан
0,655745263	Сахалинская обл.	Башкортостан
0,888462379	Свердловская обл.	Башкортостан
0,923178344	Севастополь	Башкортостан
0,661194901	Северная Осетия	Башкортостан
0,911303017	Смоленская обл.	Башкортостан
0,803098688	Ставропольский край	Башкортостан
0,915447133	Тамбовская обл.	Башкортостан
0,780924661	Татарстан	Башкортостан
0,936167929	Тверская обл.	Башкортостан
0,754096485	Томская обл.	Башкортостан
0,909904287	Тульская обл.	Башкортостан
0,330297075	Тыва	Башкортостан
0,889205968	Тюменская обл.	Башкортостан
0,849458763	Удмуртия	Башкортостан
0,829618429	Ульяновская обл.	Башкортостан
0,821607549	Хабаровский край	Башкортостан
0,716809144	Хакасия	Башкортостан
0,579518285	ХМАО – Югра	Башкортостан
0,947053946	Челябинская обл.	Башкортостан
0,760128896	Чечня	Башкортостан
0,794095135	Чувашия	Башкортостан
0,858213208	Чукотский АО	Башкортостан
0,449975262	Ямало-Ненецкий АО	Башкортостан
0,969611246	Ярославская обл.	Башкортостан
0,883100357	Адыгея	Белгородская обл.
0,699787371	Алтай	Белгородская обл.
0,90693297	Алтайский край	Белгородская обл.
0,879814314	Амурская обл.	Белгородская обл.
0,923752664	Архангельская обл.	Белгородская обл.
0,910667906	Астраханская обл.	Белгородская обл.
0,917533509	Башкортостан	Белгородская обл.
1	Белгородская обл.	Белгородская обл.
0,934778963	Брянская обл.	Белгородская обл.
0,835477509	Бурятия	Белгородская обл.
0,949294016	Владимирская обл.	Белгородская обл.
0,927455795	Волгоградская обл.	Белгородская обл.
0,947204887	Вологодская обл.	Белгородская обл.
0,94143919	Воронежская обл.	Белгородская обл.
0,735564928	Дагестан	Белгородская обл.
0,779388358	Еврейская АО	Белгородская обл.
0,920947208	Забайкальский край	Белгородская обл.
0,978577359	Ивановская обл.	Белгородская обл.
0,779184357	Ингушетия	Белгородская обл.
0,926977348	Иркутская обл.	Белгородская обл.
0,887628008	Кабардино-Балкария	Белгородская обл.
0,950466706	Калининградская обл.	Белгородская обл.
0,605008129	Калмыкия	Белгородская обл.
0,95478092	Калужская обл.	Белгородская обл.
0,782570796	Камчатский край	Белгородская обл.
0,749507256	Карачаево-Черкессия	Белгородская обл.
0,916298564	Карелия	Белгородская обл.
0,809851555	Кемеровская обл.	Белгородская обл.
0,918773587	Кировская обл.	Белгородская обл.
0,903977534	Коми	Белгородская обл.
0,882722217	Костромская обл.	Белгородская обл.
0,910978482	Краснодарский край	Белгородская обл.
0,921707769	Красноярский край	Белгородская обл.
0,887187963	Крым	Белгородская обл.
0,939071639	Курганская обл.	Белгородская обл.
0,95601545	Курская обл.	Белгородская обл.
0,946352757	Ленинградская обл.	Белгородская обл.
0,947675645	Липецкая обл.	Белгородская обл.
0,663271862	Магаданская обл.	Белгородская обл.
0,819319292	Марий Эл	Белгородская обл.
0,946090302	Мордовия	Белгородская обл.
0,583761725	Москва	Белгородская обл.
0,769309385	Московская обл.	Белгородская обл.
0,784755819	Мурманская обл.	Белгородская обл.
0,804864549	Ненецкий АО	Белгородская обл.
0,954652063	Нижегородская обл.	Белгородская обл.
0,961872695	Новгородская обл.	Белгородская обл.
0,909197527	Новосибирская обл.	Белгородская обл.
0,91070587	Омская обл.	Белгородская обл.
0,86474934	Оренбургская обл.	Белгородская обл.
0,968334732	Орловская обл.	Белгородская обл.
0,960084706	Пензенская обл.	Белгородская обл.
0,93670435	Пермский край	Белгородская обл.
0,885663914	Приморский край	Белгородская обл.
0,963431279	Псковская обл.	Белгородская обл.
0,964450122	Ростовская обл.	Белгородская обл.
